project_name,url,topics
tf-coreml/tf-coreml,https://github.com/tf-coreml/tf-coreml.git,[[]]
chrischoy/3D-R2N2,https://github.com/chrischoy/3D-R2N2.git,[[]]
thunlp/OpenKE,https://github.com/thunlp/OpenKE.git,[['knowledge-embedding']]
junyanz/BicycleGAN,https://github.com/junyanz/BicycleGAN.git,"[['pytorch', 'pix2pix', 'gans', 'generative-adversarial-network', 'deep-learning']]"
dhwajraj/deep-siamese-text-similarity,https://github.com/dhwajraj/deep-siamese-text-similarity.git,[[]]
snowkylin/TensorFlow-cn,https://github.com/snowkylin/TensorFlow-cn.git,[[]]
shicai/MobileNet-Caffe,https://github.com/shicai/MobileNet-Caffe.git,"[['mobilenet', 'caffe', 'imagenet', 'mobilenetv2', 'mobilnet-v2']]"
meijieru/crnn.pytorch,https://github.com/meijieru/crnn.pytorch.git,"[['neural-network', 'scene-texts', 'recognition']]"
explosion/thinc,https://github.com/explosion/thinc.git,"[['machine-learning', 'deep-learning', 'artificial-intelligence', 'ai', 'python', 'nlp', 'natural-language-processing', 'spacy', 'machine-learning-library', 'type-checking', 'functional-programming', 'pytorch', 'tensorflow', 'mxnet', 'jax']]"
sksq96/pytorch-summary,https://github.com/sksq96/pytorch-summary.git,"[['pytorch', 'keras', 'summary', 'deep-learning']]"
allenai/bilm-tf,https://github.com/allenai/bilm-tf.git,[[]]
probcomp/bayeslite,https://github.com/probcomp/bayeslite.git,"[['probabilistic-programming', 'automatic-data-modeling', 'data-science', 'machine-learning', 'databases']]"
ZhengyaoJiang/PGPortfolio,https://github.com/ZhengyaoJiang/PGPortfolio.git,[[]]
gpleiss/efficient_densenet_pytorch,https://github.com/gpleiss/efficient_densenet_pytorch.git,"[['densenet', 'pytorch', 'deep-learning']]"
eriklindernoren/PyTorch-YOLOv3,https://github.com/eriklindernoren/PyTorch-YOLOv3.git,[[]]
EdjeElectronics/TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10,https://github.com/EdjeElectronics/TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10.git,[[]]
devnag/pytorch-generative-adversarial-networks,https://github.com/devnag/pytorch-generative-adversarial-networks.git,"[['pytorch', 'gan', 'gans', 'machine-learning', 'deep-learning']]"
bfelbo/DeepMoji,https://github.com/bfelbo/DeepMoji.git,"[['machine-learning', 'deep-learning', 'natural-language-processing', 'python']]"
NVIDIA/flownet2-pytorch,https://github.com/NVIDIA/flownet2-pytorch.git,[[]]
vaexio/vaex,https://github.com/vaexio/vaex.git,"[['dataframe', 'python', 'bigdata', 'tabular-data', 'visualization', 'memory-mapped-file', 'hdf5', 'machine-learning', 'machinelearning']]"
Lasagne/Recipes,https://github.com/Lasagne/Recipes.git,[[]]
DragonComputer/Dragonfire,https://github.com/DragonComputer/Dragonfire.git,"[['linux', 'ubuntu', 'spacy', 'chatbot', 'kaldi', 'speech-recognition', 'speech-to-text', 'text-to-speech', 'nlp', 'machine-learning', 'artificial-intelligence', 'virtual-assistant', 'personal-assistant']]"
NVIDIA/waveglow,https://github.com/NVIDIA/waveglow.git,[[]]
SeanNaren/deepspeech.pytorch,https://github.com/SeanNaren/deepspeech.pytorch.git,[[]]
chuanqi305/MobileNet-SSD,https://github.com/chuanqi305/MobileNet-SSD.git,"[['ssd', 'mobilenet-ssd', 'caffe', 'mobilenet', 'detection']]"
yjxiong/temporal-segment-networks,https://github.com/yjxiong/temporal-segment-networks.git,"[['temporal-segment-networks', 'action-recognition', 'video-understanding']]"
taehoonlee/tensornets,https://github.com/taehoonlee/tensornets.git,"[['tensorflow', 'model', 'zoo', 'deep-learning', 'object-detection', 'yolo', 'yolov2', 'yolov3', 'faster-rcnn', 'resnet', 'inception', 'nasnet', 'pnasnet', 'vgg', 'densenet', 'mobilenet', 'mobilenetv2', 'mobilenetv3', 'efficientnet', 'squeezenet']]"
openai/InfoGAN,https://github.com/openai/InfoGAN.git,[['paper']]
Hironsan/anago,https://github.com/Hironsan/anago.git,"[['natural-language-processing', 'machine-learning', 'deep-learning', 'named-entity-recognition', 'keras', 'sequence-labeling']]"
uTensor/uTensor,https://github.com/uTensor/uTensor.git,"[['tensorflow', 'mbed', 'machine-learning', 'deep-learning', 'cortex-m', 'edge-computing', 'microcontroller', 'embedded', 'iot-middleware', 'iot']]"
cmu-db/ottertune,https://github.com/cmu-db/ottertune.git,[[]]
deepgram/kur,https://github.com/deepgram/kur.git,"[['deep-learning', 'deep-neural-networks', 'speech-recognition', 'deep-learning-tutorial', 'machine-learning', 'neural-networks', 'neural-network', 'image-recognition', 'speech-to-text']]"
mailgun/talon,https://github.com/mailgun/talon.git,[[]]
modin-project/modin,https://github.com/modin-project/modin.git,"[['dataframe', 'pandas', 'ray', 'distributed', 'datascience', 'pandas-on-ray', 'modin', 'sql', 'python']]"
basveeling/wavenet,https://github.com/basveeling/wavenet.git,[[]]
geek-ai/MAgent,https://github.com/geek-ai/MAgent.git,"[['reinforcement-learning', 'multi-agent', 'deep-learning']]"
chainer/chainercv,https://github.com/chainer/chainercv.git,"[['chainer', 'computer-vision', 'neural-network', 'deep-learning', 'python', 'cupy', 'chainercv']]"
GPflow/GPflow,https://github.com/GPflow/GPflow.git,"[['gaussian-processes', 'tensorflow', 'gpflow', 'machine-learning', 'variational-inference', 'bayesian-statistics', 'markov-chain-monte-carlo', 'stochastic-processes', 'deep-learning', 'ml', 'gp']]"
chuyangliu/snake,https://github.com/chuyangliu/snake.git,"[['snake', 'game', 'artificial-intelligence', 'graph-theory', 'algorithm', 'python', 'deep-reinforcement-learning', 'reinforcement-learning']]"
tensorflow/ranking,https://github.com/tensorflow/ranking.git,"[['ranking', 'machine-learning', 'deep-learning', 'information-retrieval', 'learning-to-rank', 'recommender-systems']]"
pathak22/noreward-rl,https://github.com/pathak22/noreward-rl.git,"[['deep-reinforcement-learning', 'curiosity', 'exploration', 'deep-learning', 'rl', 'deep-neural-networks', 'mario', 'doom', 'self-supervised', 'tensorflow', 'openai-gym']]"
